filename	total_length	number	mean_length	longest	shortest	N_count	Gaps	N50	N50n	N70	N70n	N90	N90n
Emo.minia.k101.contigs.fa	1344187164	2440516	550.78	84743	101	0	0	1107	221308	442	625521	229	1480383
Emo.minia.k103.contigs.fa	1350130403	2390975	564.68	84747	103	0	0	1138	215640	453	611233	236	1451075
Emo.minia.k105.contigs.fa	1355985369	2343623	578.59	79097	105	0	0	1168	210636	464	598452	242	1423994
Emo.minia.k107.contigs.fa	1361886949	2300278	592.05	79099	107	0	0	1197	205987	474	586459	249	1398683
Emo.minia.k111.contigs.fa	1372706131	2216760	619.24	86927	111	0	0	1257	197157	495	563651	262	1350487
Emo.minia.k121.contigs.fa	1395251139	2042009	683.27	88612	121	0	0	1380	182989	543	521805	288	1254360
Emo.minia.k21.contigs.fa	1511927057	49498977	30.54	2738	21	0	0	25	14453682	21	27900020	21	42299325
Emo.minia.k31.contigs.fa	1022200293	12898255	79.25	16060	31	0	0	123	1704411	55	4233026	32	9601100
Emo.minia.k41.contigs.fa	1059772738	7636261	138.78	23106	41	0	0	232	916505	128	2179054	46	5135950
Emo.minia.k51.contigs.fa	1124629776	5532848	203.26	26387	51	0	0	351	614113	180	1547527	66	3496270
Emo.minia.k61.contigs.fa	1186780475	4412472	268.96	31167	61	0	0	487	463653	227	1217162	93	2706953
Emo.minia.k71.contigs.fa	1236667307	3661062	337.79	41786	71	0	0	639	367948	277	990172	132	2225796
Emo.minia.k81.contigs.fa	1277897054	3127708	408.57	47135	81	0	0	793	302761	331	829272	161	1900298
Emo.minia.k91.contigs.fa	1313434044	2740588	479.25	63629	91	0	0	951	255709	387	712422	192	1661683
Emo.minia.k97.contigs.fa	1332296799	2550414	522.38	64275	97	0	0	1046	233584	420	656751	213	1545839
Emo.minia.k99.contigs.fa	1338528864	2495259	536.43	64278	99	0	0	1076	227509	431	641251	221	1513203
